Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
3264,"B Mildenhall, PP Srinivasan, M Tancik…",Nerf: Representing scenes as neural radiance fields for view synthesis,2021,Communications of the …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3503250,"https://scholar.google.com/scholar?cites=14862000915171929687&as_sdt=2005&sciodt=0,5&hl=en",8,2023-06-20 11:11:40,,10.1145/3503250,,,,,,,3264,1632,816,4,2,We present a method that achieves state-of-the-art results for synthesizing novel views of complex scenes by optimizing an underlying continuous volumetric scene function using a …,https://dl.acm.org/doi/pdf/10.1145/3503250,"https://scholar.google.com/scholar?q=related:V25aEBdvQM4J:scholar.google.com/&scioq=intitle:nerf&hl=en&as_sdt=0,5&as_ylo=2015"
618,"R Martin-Brualla, N Radwan…",Nerf in the wild: Neural radiance fields for unconstrained photo collections,2021,Proceedings of the …,openaccess.thecvf.com,http://openaccess.thecvf.com/content/CVPR2021/html/Martin-Brualla_NeRF_in_the_Wild_Neural_Radiance_Fields_for_Unconstrained_Photo_CVPR_2021_paper.html,"https://scholar.google.com/scholar?cites=11383736852184422946&as_sdt=2005&sciodt=0,5&hl=en",2,2023-06-20 11:11:40,,,,,,,,,618,309,206,3,2,"… We will demonstrate that naively applying NeRF to in-the-… , we present NeRFW, an extension of NeRF that relaxes its … each input image, thereby granting NeRF-W the flexibility to explain …",https://openaccess.thecvf.com/content/CVPR2021/papers/Martin-Brualla_NeRF_in_the_Wild_Neural_Radiance_Fields_for_Unconstrained_Photo_CVPR_2021_paper.pdf,"https://scholar.google.com/scholar?q=related:Itr5eloo-50J:scholar.google.com/&scioq=intitle:nerf&hl=en&as_sdt=0,5&as_ylo=2015"
500,"A Pumarola, E Corona, G Pons-Moll…",D-nerf: Neural radiance fields for dynamic scenes,2021,Proceedings of the …,openaccess.thecvf.com,http://openaccess.thecvf.com/content/CVPR2021/html/Pumarola_D-NeRF_Neural_Radiance_Fields_for_Dynamic_Scenes_CVPR_2021_paper.html,"https://scholar.google.com/scholar?cites=2823216184182878549&as_sdt=2005&sciodt=0,5&hl=en",5,2023-06-20 11:11:40,,,,,,,,,500,250,125,4,2,"… the Neural radiance fields (NeRF) [31]… NeRF is only applicable to static scenes, where the same spatial location can be queried from different images. In this paper we introduce D-NeRF…",http://openaccess.thecvf.com/content/CVPR2021/papers/Pumarola_D-NeRF_Neural_Radiance_Fields_for_Dynamic_Scenes_CVPR_2021_paper.pdf,"https://scholar.google.com/scholar?q=related:VbFaVikULicJ:scholar.google.com/&scioq=intitle:nerf&hl=en&as_sdt=0,5&as_ylo=2015"
465,"JT Barron, B Mildenhall, M Tancik…",Mip-nerf: A multiscale representation for anti-aliasing neural radiance fields,2021,Proceedings of the …,openaccess.thecvf.com,http://openaccess.thecvf.com/content/ICCV2021/html/Barron_Mip-NeRF_A_Multiscale_Representation_for_Anti-Aliasing_Neural_Radiance_Fields_ICCV_2021_paper.html,"https://scholar.google.com/scholar?cites=9302627546751271499&as_sdt=2005&sciodt=0,5&hl=en",1,2023-06-20 11:11:40,,,,,,,,,465,232.5,116,4,2,"… Mip-NeRF substantially improves upon the accuracy of NeRF, and … -NeRF is able to reduce error rates relative to NeRF by 60% on average (see Figure 2 for visualisations). Mip-NeRF’s …",https://openaccess.thecvf.com/content/ICCV2021/papers/Barron_Mip-NeRF_A_Multiscale_Representation_for_Anti-Aliasing_Neural_Radiance_Fields_ICCV_2021_paper.pdf,"https://scholar.google.com/scholar?q=related:S4LfYXeSGYEJ:scholar.google.com/&scioq=intitle:nerf&hl=en&as_sdt=0,5&as_ylo=2015"
244,"JT Barron, B Mildenhall, D Verbin…",Mip-nerf 360: Unbounded anti-aliased neural radiance fields,2022,Proceedings of the …,openaccess.thecvf.com,http://openaccess.thecvf.com/content/CVPR2022/html/Barron_Mip-NeRF_360_Unbounded_Anti-Aliased_Neural_Radiance_Fields_CVPR_2022_paper.html,"https://scholar.google.com/scholar?cites=814207646964143757&as_sdt=2005&sciodt=0,5&hl=en",3,2023-06-20 11:11:40,,,,,,,,,244,244,61,4,1,"… of mip-NeRF (a NeRF variant that … -NeRF 360” as we target scenes in which the camera rotates 360 degrees around a point, reduces meansquared error by 57% compared to mip-NeRF…",https://openaccess.thecvf.com/content/CVPR2022/papers/Barron_Mip-NeRF_360_Unbounded_Anti-Aliased_Neural_Radiance_Fields_CVPR_2022_paper.pdf,"https://scholar.google.com/scholar?q=related:jVa0goqlTAsJ:scholar.google.com/&scioq=intitle:nerf&hl=en&as_sdt=0,5&as_ylo=2015"
241,"K Deng, A Liu, JY Zhu…",Depth-supervised nerf: Fewer views and faster training for free,2022,Proceedings of the IEEE …,openaccess.thecvf.com,http://openaccess.thecvf.com/content/CVPR2022/html/Deng_Depth-Supervised_NeRF_Fewer_Views_and_Faster_Training_for_Free_CVPR_2022_paper.html,"https://scholar.google.com/scholar?cites=13165818652354577840&as_sdt=2005&sciodt=0,5&hl=en",4,2023-06-20 11:11:40,,,,,,,,,241,241,60,4,1,"… NeRF methods, demonstrating that depth is a cheap and easily digestible supervisory signal. And finally, we find that DS-NeRF … that NeRF is unable to match DS-NeRF’s performance. …",http://openaccess.thecvf.com/content/CVPR2022/papers/Deng_Depth-Supervised_NeRF_Fewer_Views_and_Faster_Training_for_Free_CVPR_2022_paper.pdf,"https://scholar.google.com/scholar?q=related:sIXODk9itrYJ:scholar.google.com/&scioq=intitle:nerf&hl=en&as_sdt=0,5&as_ylo=2015"
226,"Z Wang, S Wu, W Xie, M Chen…",NeRF--: Neural radiance fields without known camera parameters,2021,arXiv preprint arXiv …,arxiv.org,https://arxiv.org/abs/2102.07064,"https://scholar.google.com/scholar?cites=612864153043185137&as_sdt=2005&sciodt=0,5&hl=en",11,2023-06-20 11:11:40,,,,,,,,,226,113,45,5,2,"… We propose NeRF−−, a NeRF-based framework for novel view … trains a Neural Radiance Field (NeRF) via joint optimisation. This … , Neural Radiance Field (NeRF) has recently gained …",https://arxiv.org/pdf/2102.07064,"https://scholar.google.com/scholar?q=related:8a21ObNUgQgJ:scholar.google.com/&scioq=intitle:nerf&hl=en&as_sdt=0,5&as_ylo=2015"
169,"M Tancik, V Casser, X Yan, S Pradhan…",Block-nerf: Scalable large scene neural view synthesis,2022,Proceedings of the …,openaccess.thecvf.com,http://openaccess.thecvf.com/content/CVPR2022/html/Tancik_Block-NeRF_Scalable_Large_Scene_Neural_View_Synthesis_CVPR_2022_paper.html,"https://scholar.google.com/scholar?cites=12074576952212321041&as_sdt=2005&sciodt=0,5&hl=en",7,2023-06-20 11:11:40,,,,,,,,,169,169,34,5,1,"… -NeRF implementation on top of mipNeRF [3], which improves aliasing issues that hurt NeRF’… We incorporate techniques from NeRF in the Wild (NeRF-W) [38], which adds a latent code …",http://openaccess.thecvf.com/content/CVPR2022/papers/Tancik_Block-NeRF_Scalable_Large_Scene_Neural_View_Synthesis_CVPR_2022_paper.pdf,"https://scholar.google.com/scholar?q=related:EfO7ocODkacJ:scholar.google.com/&scioq=intitle:nerf&hl=en&as_sdt=0,5&as_ylo=2015"
145,"A Jain, M Tancik, P Abbeel",Putting nerf on a diet: Semantically consistent few-shot view synthesis,2021,Proceedings of the IEEE/CVF …,openaccess.thecvf.com,http://openaccess.thecvf.com/content/ICCV2021/html/Jain_Putting_NeRF_on_a_Diet_Semantically_Consistent_Few-Shot_View_Synthesis_ICCV_2021_paper.html,"https://scholar.google.com/scholar?cites=7657663898675731678&as_sdt=2005&sciodt=0,5&hl=en",15,2023-06-20 11:11:40,,,,,,,,,145,72.5,48,3,2,"… and rapidly varying colors can be avoided in some cases by regularizing NeRF. We simplify the NeRF architecture by removing hierarchical sampling and learning only a single MLP, …",http://openaccess.thecvf.com/content/ICCV2021/papers/Jain_Putting_NeRF_on_a_Diet_Semantically_Consistent_Few-Shot_View_Synthesis_ICCV_2021_paper.pdf,"https://scholar.google.com/scholar?q=related:3lzmab58RWoJ:scholar.google.com/&scioq=intitle:nerf&hl=en&as_sdt=0,5&as_ylo=2015"
126,"C Wang, M Chai, M He, D Chen…",Clip-nerf: Text-and-image driven manipulation of neural radiance fields,2022,Proceedings of the …,openaccess.thecvf.com,http://openaccess.thecvf.com/content/CVPR2022/html/Wang_CLIP-NeRF_Text-and-Image_Driven_Manipulation_of_Neural_Radiance_Fields_CVPR_2022_paper.html,"https://scholar.google.com/scholar?cites=4864817613756311341&as_sdt=2005&sciodt=0,5&hl=en",12,2023-06-20 11:11:40,,,,,,,,,126,126,25,5,1,"… that allows manipulating NeRF in a user-… NeRF and the controllable manipulation ability of latent representations from generative models, we introduce a disentangled conditional NeRF …",http://openaccess.thecvf.com/content/CVPR2022/papers/Wang_CLIP-NeRF_Text-and-Image_Driven_Manipulation_of_Neural_Radiance_Fields_CVPR_2022_paper.pdf,"https://scholar.google.com/scholar?q=related:LScCRdhNg0MJ:scholar.google.com/&scioq=intitle:nerf&hl=en&as_sdt=0,5&as_ylo=2015"
